location,topic,users,season,доступность,,,INT комментарий
Лабынкыр,EXT,LUX,W,,,,
Лабынкыр,ECO,EU+JAP,W,,,,
Лабынкыр,ECO,EU+JAP,S,,,,
Лабынкыр,ECO,EU+JAP,MID,,,,
Лабынкыр,ECO,RUS,W,,,,
Лабынкыр,ECO,RUS,S,,,,
Лабынкыр,ECO,RUS,MID,,,,
Лабынкыр,OYM,EU+JAP,W,,,,
Лабынкыр,OYM,RUS,W,,,,
,,,,,,,
Тополиное,GUL,RUS,W,,,,
Тополиное,GUL,RUS,S,,,,
Тополиное,GUL,EU+JAP,W,,,,
Тополиное,GUL,EU+JAP,S,,,,
,,,,,,,
Хандыга,GUL,RUS,W,,,,
Хандыга,GUL,RUS,S,,,,
Хандыга,GUL,RUS,MID,,,,
Хандыга,GUL,EU+JAP,W,,,,
Хандыга,GUL,EU+JAP,S,,,,
Хандыга,GUL,EU+JAP,MID,,,,
Хандыга,GUL,CHINA,W,,,,
,,,,,,,
Русское Устье,EXT,LUX,W,,,,проверить сезон
Русское Устье,EXT,LUX,S,,,,проверить сезон
,,,,,,,
Тёплый ключ,GUL,RUS,W,,,,
Тёплый ключ,GUL,RUS,S,,,,
Тёплый ключ,GUL,EU+JAP,W,,,,
Тёплый ключ,GUL,EU+JAP,S,,,,
,,,,,,,
Усть-Нера,GUL,RUS,W,,,,
Усть-Нера,GUL,RUS,S,,,,
Усть-Нера,GUL,EU+JAP,W,,,,
Усть-Нера,GUL,EU+JAP,S,,,,
,,,,,,,
Кольский полуостров,EXT,LUX,W,,,,
Кольский полуостров,EXT,LUX,S,,,,
,,,,,,,
Усть-Ленский заповедник,EXT,LUX,W,,,,
Усть-Ленский заповедник,EXT,LUX,S,,,,
,,,,,,,
Джебарики-Хая,GUL,SPEC,A,,,,"неподтвержденные \ неочевидные артфекаты, которые требуется обнаружить во время экспедиций"
Делянкир,GUL,SPEC,A,,,,Вопрос: зимой обнаружение артфекатов возможно?
Куранах-Сала,GUL,SPEC,A,,,,
Ольчанский перевал,GUL,SPEC,A,,,,
Бутугычаг,GUL,SPEC,A,,,,
Днепровский рудник,GUL,SPEC,A,,,,
Ытык-Кюель,GUL,SPEC,A,,,,
Карамкен,GUL,SPEC,A,,,,
Зырянка (Зырянлаг),GUL,SPEC,A,,,,
Алданский (ИТЛ),GUL,SPEC,A,,,,
Чульман (Немнырлаг),GUL,SPEC,A,,,,
Старая Колыма,,,A,,,,
,,,,,,,
Усть-нера кисиляхи,ECO,EU+JAP,S,,,,
Усть-нера кисиляхи,ECO,RUS,S,,,,
Усть-нера кисиляхи,ECO,SPEC,S,,,,
,,,,,,,
Ючюгей,OYM,EU+JAP,S,,,,
Ючюгей,OYM,EU+JAP,W,,,,
Ючюгей,OYM,RUS,S,,,,
Ючюгей,OYM,RUS,W,,,,
Ючюгей,OYM,SOLO,S,,,,
Ючюгей,OYM,SOLO,W,,,,
Ючюгей,OYM,LUX,S,,,,
Ючюгей,OYM,LUX,W,,,,
Ючюгей,OYM,LUX,MID,,,,
,,,,,,,
река Куйдусун,ECO,EU+JAP,S,"пеший, джип, водный",,,
река Куйдусун,ECO,EU+JAP,W,,,,
река Куйдусун,ECO,RUS,S,"пеший, джип, водный",,,
река Куйдусун,ECO,RUS,W,,,,
река Куйдусун,ECO,CHINA,S,"пеший, джип, водный",,,
река Куйдусун,ECO,CHINA,W,,,,
река Куйдусун,ECO,SOLO,S,"пеший, джип, водный",,,
река Куйдусун,ECO,SOLO,W,,,,
река Куйдусун,OYM,EU+JAP,W,,,,
река Куйдусун,OYM,RUS,W,,,,
река Куйдусун,OYM,CHINA,W,,,,
река Куйдусун,OYM,SOLO,W,,,,в случае организованного зимника
,,,,,,,
у реки Беппей,ECO,RUS,S,водный,,,
у реки Беппей,ECO,EU+JAP,S,водный,,,
у реки Беппей,ECO,SOLO,S,водный,,,
у реки Беппей,ECO,RUS,W,,,,
у реки Беппей,ECO,EU+JAP,W,,,,
у реки Беппей,ECO,SOLO,W,,,,в случае организованного зимника
у реки Беппей,OYM,EU+JAP,W,,,,
у реки Беппей,OYM,RUS,W,,,,
,,,,,,,
метеостанция Юрты,ECO,RUS,S,водный,,,
метеостанция Юрты,ECO,EU+JAP,S,водный,,,
метеостанция Юрты,ECO,SOLO,S,водный,,,
метеостанция Юрты,ECO,RUS,W,,,,
метеостанция Юрты,ECO,EU+JAP,W,,,,
метеостанция Юрты,ECO,SOLO,W,,,,в случае организованного зимника
метеостанция Юрты,OYM,EU+JAP,W,,,,
метеостанция Юрты,OYM,RUS,W,,,,
,,,,,,,
устье реки Киняс-Юрях,ECO,RUS,S,водный,,,
устье реки Киняс-Юрях,ECO,EU+JAP,S,водный,,,
устье реки Киняс-Юрях,ECO,SOLO,S,водный,,,
устье реки Киняс-Юрях,ECO,RUS,W,,,,
устье реки Киняс-Юрях,ECO,EU+JAP,W,,,,
устье реки Киняс-Юрях,ECO,SOLO,W,,,,в случае организованного зимника
устье реки Киняс-Юрях,OYM,EU+JAP,W,,,,
устье реки Киняс-Юрях,OYM,RUS,W,,,,
,,,,,,,
река Тарын,ECO,RUS,S,водный,,,
река Тарын,ECO,EU+JAP,S,водный,,,
река Тарын,ECO,SOLO,S,водный,,,
река Тарын,ECO,RUS,W,,,,
река Тарын,ECO,EU+JAP,W,,,,
река Тарын,ECO,SOLO,W,,,,в случае организованного зимника
река Тарын,OYM,EU+JAP,W,,,,
река Тарын,OYM,RUS,W,,,,
,,,,,,,
ручей Поворотный,ECO,RUS,S,водный,,,
ручей Поворотный,ECO,EU+JAP,S,водный,,,
ручей Поворотный,ECO,SOLO,S,водный,,,
,,,,,,,
Дражный + Нелькан,INDS,SPEC,S,,,,
Дражный + Нелькан,INDS,SPEC,W,,,,
Дражный + Нелькан,INDS,LUX,S,,,,под вопросом
,,,,,,,
Орто-Балаган + места выше по реке,ECO,RUS,S,"джип, водный",,,в рамках двух-четырех дневного тура
Орто-Балаган + места выше по реке,ECO,EU+JAP,S,,,,
Орто-Балаган + места выше по реке,ECO,SOLO,S,,,,
Орто-Балаган + места выше по реке,ECO,RUS,W,,,,
Орто-Балаган + места выше по реке,ECO,EU+JAP,W,,,,
Орто-Балаган + места выше по реке,ECO,SOLO,W,,,,
Орто-Балаган + места выше по реке,ECO,RUS,MID,,,,
Орто-Балаган + места выше по реке,ECO,EU+JAP,MID,,,,
Орто-Балаган + места выше по реке,ECO,SOLO,MID,,,,
,,,,,,,
озеро Алысардах,ECO,RUS,S,,,,
озеро Алысардах,ECO,EU+JAP,S,,,,
озеро Алысардах,ECO,SOLO,S,,,,
озеро Алысардах,ECO,RUS,W,,,,
озеро Алысардах,ECO,EU+JAP,W,,,,
озеро Алысардах,ECO,SOLO,W,,,,
озеро Алысардах,ECO,RUS,MID,,,,
озеро Алысардах,ECO,EU+JAP,MID,,,,
озеро Алысардах,ECO,SOLO,MID,,,,
,,,,,,,
Момская наледь,ECO,RUS,S,,,,
Момская наледь,ECO,EU+JAP,S,,,,
Момская наледь,ECO,LUX,S,,,,
Момская наледь,ECO,RUS,W,,,,
Момская наледь,ECO,EU+JAP,W,,,,
Момская наледь,ECO,SPEC,W,,,,
,,,,,,,
озеро Сыгарымни,ECO,RUS,S,,,,
озеро Сыгарымни,ECO,EU+JAP,S,,,,
,,,,,,,
река Чибагалах,ECO,RUS,S,,,,
река Чибагалах,ECO,EU+JAP,S,,,,
,,,,,,,
озеро Момонтай,ECO,LUX,S,,,,Магаданская обл
озеро Момонтай,ECO,LUX,W,,,,
озеро Момонтай,ECO,LUX,MID,,,,
,,,,,,,
озеро Джека Лондона,ECO,RUS,S,,,,Магаданская обл
озеро Джека Лондона,ECO,EU+JAP,S,,,,
озеро Джека Лондона,ECO,LUX,S,,,,
озеро Джека Лондона,ECO,LUX,MID,,,,
,,,,,,,
Ленские столбы,ECO,LUX,S,,,,
Ленские столбы самолетная экскурсия,ECO,LUX,W,,,,
,,,,,,,
"Мирный, алмазный карьер",INDS,LUX,S,,,,
"Мирный, алмазный карьер",INDS,LUX,W,,,,
"Мирный, алмазный карьер",INDS,LUX,MID,,,,
,,,,,,,
Улахан-Сис,ECO,LUX,S,,,,https://karpukhins.livejournal.com/225048.html
Улахан-Сис,ECO,LUX,W,,,,
,,,,,,,
Плейстоценовый парк,ECO,LUX,S,,,,https://pleistocenepark.ru/ru/
Плейстоценовый парк,ECO,LUX,W,,,,
Плейстоценовый парк,ECO,LUX,MID,,,,
,,,,,,,
Кадыкчан,INDS,SPEC,S,,,,